ID_INCIDENTE,PRIORIDAD,TIEMPO_RESOLUCION_MIN,TIPO_INCUMPLIMIENTO,ES_CAMBIO_AUTORIZADO,RIESGO_CRITICIDAD,NIVEL_MADUREZ,FECHA_REGISTRO
INC-3E9E9AD4,Media,732.93,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-10-13
INC-CBB868F0,Media,167.16,Falla de Hardware,1,Medio,Nivel 3,2025-07-22
INC-54D16D44,Media,622.41,Petición de Servicio,1,Medio,Nivel 3,2025-05-05
INC-DE60A955,Media,621.81,Falla de Hardware,1,Medio,Nivel 3,2025-09-12
INC-DD59D48C,Alta,59.7,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-05-08
INC-409921C8,Baja,1585.05,Error de Aplicación,1,Bajo,Nivel 3,2025-04-25
INC-31BC49F0,Baja,586.19,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-04-25
INC-9EE91F6C,Baja,3514.59,Error de Aplicación,1,Bajo,Nivel 3,2025-05-13
INC-B032FB08,Baja,4100.29,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-05-03
INC-65A33ACA,Media,159.8,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-10-05
INC-E7316C69,Baja,4131.48,Falla de Hardware,1,Bajo,Nivel 3,2025-05-31
INC-EE5DAF33,Alta,265.16,Falla de Hardware,1,Alto,Nivel 3,2025-04-24
INC-D7CA15FA,Alta,164.8,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-09-09
INC-06CB8248,Alta,64.59,Error de Aplicación,1,Alto,Nivel 3,2025-08-19
INC-76607C96,Media,750.86,Falla de Hardware,1,Medio,Nivel 3,2025-08-17
INC-E079F6C9,Media,1156.43,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-05-19
INC-B3B680F8,Media,1035.78,Falla de Hardware,1,Medio,Nivel 3,2025-04-17
INC-F5CC13C6,Baja,330.95,Petición de Servicio,1,Bajo,Nivel 3,2025-04-22
INC-971A1E42,Media,160.6,Error de Aplicación,1,Medio,Nivel 3,2025-05-27
INC-5CBA6A22,Media,615.97,Petición de Servicio,1,Medio,Nivel 3,2025-04-21
INC-76BC4287,Media,467.5,Error de Aplicación,1,Medio,Nivel 3,2025-07-05
INC-BB205B28,Alta,134.57,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-05-04
INC-960FF8A7,Baja,1300.22,Error de Aplicación,1,Bajo,Nivel 3,2025-10-10
INC-4631732E,Alta,391.57,Error de Aplicación,1,Alto,Nivel 3,2025-07-07
INC-F72D8878,Baja,4022.76,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-06-20
INC-BB652414,Baja,1821.43,Error de Aplicación,1,Bajo,Nivel 3,2025-07-08
INC-FC3EC29E,Alta,437.75,Falla de Hardware,1,Alto,Nivel 3,2025-08-30
INC-8C9F0D01,Alta,174.67,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-08-25
INC-79E8350B,Baja,2121.04,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-05-11
INC-E812145D,Baja,1069.32,Error en Plataforma Cloud (sin control),0,Medio,Nivel 3,2025-06-24
INC-87D0A625,Baja,2810.0,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-10-01
INC-244C9D78,Baja,4231.72,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-07-07
INC-1D95F6D9,Alta,301.57,Petición de Servicio,1,Alto,Nivel 3,2025-10-11
INC-F2D03DBE,Media,553.78,Petición de Servicio,1,Medio,Nivel 3,2025-08-11
INC-BC642C75,Alta,321.52,Error de Aplicación,1,Alto,Nivel 3,2025-07-20
INC-A92CCE7C,Baja,636.27,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-05-19
INC-355106ED,Media,1286.35,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-08-05
INC-D03618DF,Media,754.26,Error de Aplicación,1,Medio,Nivel 3,2025-09-09
INC-EB213877,Alta,232.21,Falla de Hardware,1,Alto,Nivel 3,2025-08-19
INC-5EE7BE6F,Media,868.49,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-05-02
INC-7F7FCB75,Media,922.2,Falla de Hardware,1,Medio,Nivel 3,2025-07-05
INC-13693360,Baja,421.46,Error de Aplicación,1,Bajo,Nivel 3,2025-05-24
INC-AF757CE8,Media,1002.01,Petición de Servicio,1,Medio,Nivel 3,2025-10-02
INC-46E6A122,Baja,1136.11,Error de Aplicación,1,Bajo,Nivel 3,2025-08-29
INC-5B0F8B00,Media,1045.25,Falla de Hardware,1,Medio,Nivel 3,2025-07-03
INC-BC320250,Alta,400.14,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-06-18
INC-E0AF5061,Baja,3496.63,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-08-06
INC-B0DDD207,Baja,2440.5,Error de Aplicación,1,Bajo,Nivel 3,2025-07-14
INC-EF6B09CB,Media,777.83,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-09-23
INC-FBEE8009,Baja,720.08,Petición de Servicio,1,Bajo,Nivel 3,2025-05-24
INC-A57E15C6,Media,1129.98,Petición de Servicio,1,Medio,Nivel 3,2025-09-13
INC-6ABFFFFB,Media,434.54,Petición de Servicio,1,Medio,Nivel 3,2025-09-07
INC-ECCA5F03,Media,745.44,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-06-07
INC-E48388F3,Alta,157.92,Error de Aplicación,1,Alto,Nivel 3,2025-05-15
INC-CCD29348,Alta,90.22,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-09-07
INC-F1873E2C,Alta,313.3,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-07-01
INC-6D4308FB,Media,134.98,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-09-08
INC-DD3E05A8,Media,1093.13,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-06-19
INC-C73621C8,Media,498.27,Error de Aplicación,1,Medio,Nivel 3,2025-07-16
INC-C3DEDBF6,Baja,120.57,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-07-14
INC-D1876DEB,Alta,260.01,Petición de Servicio,1,Alto,Nivel 3,2025-04-29
INC-39C57697,Media,124.66,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-06-27
INC-62F88409,Baja,1279.91,Petición de Servicio,1,Bajo,Nivel 3,2025-04-21
INC-5EC5D280,Alta,348.14,Error de Aplicación,1,Alto,Nivel 3,2025-04-28
INC-249032BE,Alta,58.21,Cambio No Autorizado en HCE,0,Crítico,Nivel 3,2025-10-02
INC-9B84CCBF,Media,1218.29,Cambio No Autorizado en HCE,0,Medio,Nivel 3,2025-04-19
INC-77558AC6,Alta,31.72,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-05-19
INC-7D8089C7,Baja,1156.66,Petición de Servicio,1,Bajo,Nivel 3,2025-08-15
INC-ADD3993B,Baja,3231.8,Falla de Hardware,1,Bajo,Nivel 3,2025-06-05
INC-34837872,Media,496.45,Falla de Hardware,1,Medio,Nivel 3,2025-08-31
INC-18853BD0,Baja,547.95,Falla de Hardware,1,Bajo,Nivel 3,2025-10-11
INC-E739F4EE,Baja,1632.98,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-05-15
INC-719DDEA8,Alta,151.68,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-05-25
INC-5EABD97E,Baja,3659.39,Petición de Servicio,1,Bajo,Nivel 3,2025-07-16
INC-79E33DBA,Media,492.42,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-07-25
INC-4058215D,Baja,3433.52,Falla de Hardware,1,Bajo,Nivel 3,2025-10-06
INC-9C2B8DDE,Baja,3865.86,Petición de Servicio,1,Bajo,Nivel 3,2025-05-03
INC-4C02C219,Media,658.67,Petición de Servicio,1,Medio,Nivel 3,2025-06-11
INC-3496B442,Alta,439.47,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-06-01
INC-79A65577,Alta,199.79,Petición de Servicio,1,Alto,Nivel 3,2025-06-22
INC-27F21AB6,Media,1390.43,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-09-05
INC-DA6C94D7,Baja,495.02,Error de Aplicación,1,Bajo,Nivel 3,2025-06-22
INC-46148EBB,Baja,3005.48,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-05-09
INC-1EA4B9E5,Alta,252.22,Falla de Hardware,1,Alto,Nivel 3,2025-07-19
INC-FFC5B8EB,Media,594.96,Falla de Hardware,1,Medio,Nivel 3,2025-09-14
INC-329AF1B8,Media,933.14,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-09-18
INC-24399F9D,Alta,346.74,Error de Aplicación,1,Alto,Nivel 3,2025-06-09
INC-BAF2F9B7,Alta,31.96,Error de Aplicación,1,Alto,Nivel 3,2025-09-01
INC-95B5E60D,Media,290.4,Falla de Hardware,1,Medio,Nivel 3,2025-07-02
INC-3CB66ABD,Baja,3114.79,Problema de Infraestructura (por cambio no aprobado),0,Alto,Nivel 3,2025-05-02
INC-2A07E63D,Media,979.61,Petición de Servicio,1,Medio,Nivel 3,2025-05-27
INC-D6BE746F,Media,1393.15,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-07-23
INC-144321DF,Baja,3316.36,Petición de Servicio,1,Bajo,Nivel 3,2025-08-22
INC-B8081CFD,Media,1372.07,Falla de Hardware,1,Medio,Nivel 3,2025-06-16
INC-3EABBE33,Baja,3070.67,Error de Aplicación,1,Bajo,Nivel 3,2025-07-11
INC-A73CBF98,Baja,1371.82,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-08-12
INC-437CD997,Media,205.4,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-07-25
INC-B6D601F5,Media,1138.92,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-06-04
INC-24869799,Media,948.93,Falla de Hardware,1,Medio,Nivel 3,2025-10-13
INC-261A9735,Media,126.5,Error de Aplicación,1,Medio,Nivel 3,2025-04-18
INC-FDA9AD5B,Alta,192.02,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-08-14
INC-5CB069F5,Media,1380.38,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-10-11
INC-8FBF1D86,Media,750.55,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-08-17
INC-B1776990,Alta,224.73,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-07-11
INC-20F26B83,Media,691.63,Error de Aplicación,1,Medio,Nivel 3,2025-10-04
INC-5ACFBB90,Baja,997.31,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-07-02
INC-227CE0D7,Alta,195.92,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-08-30
INC-CF1F3210,Alta,196.42,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-06-14
INC-D64C864B,Media,132.25,Falla de Hardware,1,Medio,Nivel 3,2025-04-28
INC-7A94A5BF,Baja,3343.78,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-04-20
INC-715A1062,Alta,217.43,Error de Aplicación,1,Alto,Nivel 3,2025-08-11
INC-AAAE0CAF,Media,1194.61,Petición de Servicio,1,Medio,Nivel 3,2025-07-20
INC-345549C3,Baja,3691.46,Falla de Hardware,1,Bajo,Nivel 3,2025-08-19
INC-9A5D02C5,Alta,125.4,Falla de Hardware,1,Alto,Nivel 3,2025-05-27
INC-7E147860,Baja,2880.88,Error de Aplicación,1,Bajo,Nivel 3,2025-08-17
INC-0AF71B9F,Media,711.75,Error de Aplicación,1,Medio,Nivel 3,2025-04-23
INC-6160267D,Media,1274.62,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-06-24
INC-F6CB7DB7,Media,357.72,Falla de Hardware,1,Medio,Nivel 3,2025-06-24
INC-D4A21571,Media,995.38,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-07-06
INC-EC737F43,Alta,303.49,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-05-16
INC-FDD1FB69,Baja,1360.27,Cambio No Autorizado en HCE,0,Alto,Nivel 3,2025-06-28
INC-3B32C362,Media,248.51,Falla de Hardware,1,Medio,Nivel 3,2025-04-22
INC-B79AEE8C,Alta,323.24,Petición de Servicio,1,Alto,Nivel 3,2025-07-14
INC-213050B9,Alta,362.37,Falla de Hardware,1,Alto,Nivel 3,2025-09-10
INC-06DE19E5,Media,495.57,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-06-21
INC-0EED5D40,Media,949.87,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-04-26
INC-56B8278F,Alta,207.81,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-09-07
INC-4297F72D,Media,1044.23,Petición de Servicio,1,Medio,Nivel 3,2025-05-23
INC-301D58C8,Alta,119.65,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-07-02
INC-285C61D8,Media,1288.5,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-07-02
INC-C481989E,Alta,159.33,Error de Aplicación,1,Alto,Nivel 3,2025-05-18
INC-56D076CC,Media,567.54,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-06-02
INC-F59BC76D,Media,140.17,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-08-04
INC-D1399F91,Baja,588.35,Petición de Servicio,1,Bajo,Nivel 3,2025-10-04
INC-984280D9,Alta,262.14,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-08-14
INC-931A2389,Media,429.28,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-09-27
INC-59529A59,Alta,405.97,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-09-17
INC-D8076EF2,Baja,181.71,Error de Aplicación,1,Bajo,Nivel 3,2025-04-26
INC-CCCACFFA,Baja,1712.2,Petición de Servicio,1,Bajo,Nivel 3,2025-09-22
INC-6D611FA9,Media,525.54,Error de Aplicación,1,Medio,Nivel 3,2025-07-22
INC-303EC0BF,Media,86.67,Petición de Servicio,1,Medio,Nivel 3,2025-09-20
INC-D642D352,Baja,642.35,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-04-21
INC-E5D20FF1,Media,630.83,Petición de Servicio,1,Medio,Nivel 3,2025-07-02
INC-EE7E7523,Media,740.15,Falla de Hardware,1,Medio,Nivel 3,2025-04-17
INC-AEA392D4,Alta,211.93,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-08-25
INC-2588DEAB,Alta,268.92,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-06-22
INC-874203BE,Baja,2619.55,Falla de Hardware,1,Bajo,Nivel 3,2025-09-26
INC-7E641B96,Baja,161.68,Error de Aplicación,1,Bajo,Nivel 3,2025-05-01
INC-4F054A2E,Media,700.45,Falla de Hardware,1,Medio,Nivel 3,2025-07-18
INC-E312991F,Media,1389.63,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-05-16
INC-20A5242F,Media,776.26,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-07-28
INC-4600C5AE,Baja,2965.68,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-07-07
INC-51CF286A,Baja,1429.83,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-06-30
INC-49D13D70,Baja,3370.76,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-10-04
INC-87CC3323,Baja,3366.27,Falla de Hardware,1,Bajo,Nivel 3,2025-06-15
INC-0AD8DEA5,Media,779.39,Falla de Hardware,1,Medio,Nivel 3,2025-05-26
INC-7A092E77,Alta,469.21,Error en Plataforma Cloud (sin control),0,Crítico,Nivel 3,2025-09-20
INC-23F481D9,Alta,86.5,Falla de Hardware,1,Alto,Nivel 3,2025-06-29
INC-378E113C,Baja,191.18,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-08-15
INC-B7E603EF,Media,1122.82,Cambio No Autorizado en HCE,0,Alto,Nivel 3,2025-09-10
INC-B4B247B3,Alta,393.22,Falla de Hardware,1,Alto,Nivel 3,2025-04-19
INC-DB7E5633,Alta,84.09,Error de Aplicación,1,Alto,Nivel 3,2025-05-22
INC-926C7BF8,Media,426.5,Falla de Hardware,1,Medio,Nivel 3,2025-05-29
INC-65172C64,Alta,37.9,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-09-06
INC-088E1A86,Alta,161.99,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-10-02
INC-0BE7E77B,Media,1126.94,Error de Aplicación,1,Medio,Nivel 3,2025-08-09
INC-438AF979,Media,774.79,Petición de Servicio,1,Medio,Nivel 3,2025-08-03
INC-B7A4C148,Media,540.37,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-07-15
INC-DD754676,Alta,197.28,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-09-27
INC-283C9B0D,Baja,125.69,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-07-09
INC-0B8491A1,Alta,164.91,Incidente de Seguridad Menor,1,Alto,Nivel 3,2025-07-02
INC-783F2698,Media,952.11,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-09-24
INC-1F52BCD8,Baja,4211.62,Petición de Servicio,1,Bajo,Nivel 3,2025-04-21
INC-594D4230,Media,1228.94,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-07-03
INC-3EAA36E7,Baja,219.1,Petición de Servicio,1,Bajo,Nivel 3,2025-07-16
INC-9147AB4C,Media,1300.01,Petición de Servicio,1,Medio,Nivel 3,2025-07-12
INC-543BE914,Media,1140.81,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-04-30
INC-A5619873,Alta,381.17,Falla de Hardware,1,Alto,Nivel 3,2025-07-29
INC-4B11BB5E,Media,692.03,Falla de Hardware,1,Medio,Nivel 3,2025-07-08
INC-8A86788F,Media,609.25,Petición de Servicio,1,Medio,Nivel 3,2025-10-08
INC-B6AFDF26,Alta,166.31,Error de Aplicación,1,Alto,Nivel 3,2025-06-09
INC-CD644C21,Baja,395.92,Petición de Servicio,1,Bajo,Nivel 3,2025-08-26
INC-24058357,Media,374.96,Petición de Servicio,1,Medio,Nivel 3,2025-07-20
INC-D85E8F4E,Baja,1155.74,Petición de Servicio,1,Bajo,Nivel 3,2025-04-25
INC-FFC3DD8F,Media,728.03,Falla de Hardware,1,Medio,Nivel 3,2025-06-08
INC-0DECE841,Baja,3259.27,Falla de Hardware,1,Bajo,Nivel 3,2025-07-02
INC-30A0E1E2,Media,713.86,Falla de Hardware,1,Medio,Nivel 3,2025-06-15
INC-4F38BF4A,Media,139.83,Petición de Servicio,1,Medio,Nivel 3,2025-06-01
INC-6FC0F81B,Media,1381.75,Error de Aplicación,1,Medio,Nivel 3,2025-06-09
INC-3DB9D5F1,Alta,454.23,Falla de Hardware,1,Alto,Nivel 3,2025-06-29
INC-E5AE3E24,Baja,3417.8,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-08-06
INC-D3C7CED6,Media,1428.03,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-07-20
INC-15C43509,Alta,275.02,Problema de Red/Conectividad,1,Alto,Nivel 3,2025-09-28
INC-83E48D43,Media,1388.62,Incidente de Seguridad Menor,1,Medio,Nivel 3,2025-05-09
INC-C037E3E1,Alta,64.02,Petición de Servicio,1,Alto,Nivel 3,2025-05-13
INC-970ABDCA,Baja,1655.86,Cambio No Autorizado en HCE,0,Alto,Nivel 3,2025-06-25
INC-E2E39F12,Baja,1066.6,Petición de Servicio,1,Bajo,Nivel 3,2025-08-03
INC-20E4E79E,Baja,942.5,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-07-02
INC-6E401E03,Media,254.31,Error de Aplicación,1,Medio,Nivel 3,2025-10-12
INC-DECAAB0A,Alta,310.09,Petición de Servicio,1,Alto,Nivel 3,2025-06-05
INC-906F5A58,Baja,3401.55,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-08-18
INC-BF7C6A20,Media,858.05,Falla de Hardware,1,Medio,Nivel 3,2025-05-05
INC-9CB6714E,Baja,737.24,Petición de Servicio,1,Bajo,Nivel 3,2025-04-17
INC-C07F7927,Baja,3526.72,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-05-26
INC-1A09E348,Baja,2791.01,Falla de Hardware,1,Bajo,Nivel 3,2025-09-23
INC-31825BCA,Media,595.67,Falla de Hardware,1,Medio,Nivel 3,2025-05-08
INC-A6D3CF9B,Media,990.3,Error en Plataforma Cloud (sin control),0,Medio,Nivel 3,2025-08-06
INC-BF4A9E8A,Baja,1211.6,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-05-26
INC-907732B1,Media,536.37,Falla de Hardware,1,Medio,Nivel 3,2025-05-24
INC-EFB577D9,Alta,442.87,Falla de Hardware,1,Alto,Nivel 3,2025-06-03
INC-4F48F9B4,Media,460.9,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-06-30
INC-AC13FD97,Baja,2093.95,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-10-12
INC-0BA23A56,Media,1288.39,Petición de Servicio,1,Medio,Nivel 3,2025-08-01
INC-A78D3C42,Media,1036.66,Petición de Servicio,1,Medio,Nivel 3,2025-04-24
INC-1A7C4632,Alta,57.99,Petición de Servicio,1,Alto,Nivel 3,2025-07-11
INC-B3591E30,Media,263.28,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-06-23
INC-7670798B,Baja,152.93,Petición de Servicio,1,Bajo,Nivel 3,2025-06-30
INC-693650B7,Alta,313.91,Falla de Hardware,1,Alto,Nivel 3,2025-08-31
INC-640793D0,Media,677.79,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-07-15
INC-C489858C,Baja,683.95,Problema de Infraestructura (por cambio no aprobado),0,Medio,Nivel 3,2025-08-24
INC-4B6C1202,Baja,4143.32,Falla de Hardware,1,Bajo,Nivel 3,2025-07-05
INC-ACB1B8ED,Media,790.93,Petición de Servicio,1,Medio,Nivel 3,2025-07-20
INC-DEF8A990,Baja,1135.95,Error de Aplicación,1,Bajo,Nivel 3,2025-06-25
INC-E281386B,Media,750.83,Petición de Servicio,1,Medio,Nivel 3,2025-07-15
INC-30D6F2E3,Media,997.88,Error de Aplicación,1,Medio,Nivel 3,2025-06-14
INC-9EE91609,Baja,440.2,Petición de Servicio,1,Bajo,Nivel 3,2025-09-10
INC-85B6A947,Baja,1273.76,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-05-14
INC-8FFC33A7,Baja,3509.26,Petición de Servicio,1,Bajo,Nivel 3,2025-06-27
INC-C5283615,Baja,2050.59,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-04-30
INC-BEAF28BD,Media,814.28,Problema de Red/Conectividad,1,Medio,Nivel 3,2025-05-10
INC-B5D7C07D,Media,657.29,Error de Aplicación,1,Medio,Nivel 3,2025-08-06
INC-AC5F4133,Baja,304.38,Problema de Red/Conectividad,1,Bajo,Nivel 3,2025-05-30
INC-C953D2CB,Media,288.73,Falla de Hardware,1,Medio,Nivel 3,2025-06-11
INC-9748628E,Baja,1991.27,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-08-14
INC-1CBA8EEC,Baja,998.58,Incidente de Seguridad Menor,1,Bajo,Nivel 3,2025-10-12
